,0
close,0.6216216216216178
close_1shift,0.13513513513513514
close_2shift,0.12702702702702703
close_3shift,0.11081081081081082
close_4shift,0.08378378378378379
close_5shift,0.06756756756756757
close_mv10,0.14324324324324325
close_mv20,0.1972972972972973
close_mv5,0.3108108108108102
consec_fore,0.0918918918918919
consec_inst,0.11621621621621622
dayofmonth_freq_cos,0.14324324324324325
dayofmonth_freq_sin,0.15405405405405406
dow,0.22162162162162163
fast_d,0.15945945945945947
fast_k,0.08378378378378379
fore,0.11351351351351352
fore_mv10,0.14054054054054055
fore_mv20,0.1918918918918919
fore_mv5,0.12162162162162163
inst,0.11081081081081082
inst_mv10,0.1864864864864865
inst_mv20,0.16756756756756758
inst_mv5,0.16216216216216217
kospi,0.10270270270270271
kospi_mv10,0.1918918918918919
kospi_mv20,0.22972972972972974
kospi_mv5,0.12702702702702703
mfi,0.12702702702702703
msci_emerging,0.15675675675675677
nasdaq,0.22702702702702704
obv,0.17567567567567569
obv_ema,0.23243243243243245
semicon_index,0.1918918918918919
snp500,0.20810810810810812
sse_composite_index,0.17567567567567569
trading_amount,0.11081081081081082
trading_amount_mv10,0.15945945945945947
trading_amount_mv20,0.23783783783783785
trading_amount_mv5,0.13783783783783785
usdtoaud,0.12162162162162163
usdtocny,0.14324324324324325
usdtojpy,0.13513513513513514
usdtokrw,0.05675675675675676
volume,0.11891891891891893
volume_mv10,0.15945945945945947
volume_mv20,0.24324324324324326
volume_mv5,0.14594594594594595
